sku,type,name,match_source,image_count,images,variation_image,catalog_images,status
72023,simple,TapeTech Stainless Steel Taping Knife Set,none,0,,,,missing
72028,simple,TapeTech Starter Knife Set I,none,0,,,,missing
72030,simple,TapeTech Starter Knife Set II,none,0,,,,missing
13669,simple,TapeTech Taping Set – Configurable,secondary:sku_direct,1,tapetech-13669-01.webp,tapetech-13669-01.webp,tapetech-13669-01.webp,mapped
10355,simple,TapeTech Taping Tools Drywall Finishing Set – Configurable,secondary:sku_direct,1,tapetech-10355-01.webp,tapetech-10355-01.webp,tapetech-10355-01.webp,mapped
TTFFS,simple,TapeTech Value Drywall Finishing Set,secondary:sku_direct,1,tapetech-TTFFS-01.webp,tapetech-TTFFS-01.webp,tapetech-TTFFS-01.webp,mapped
TTFTFS,simple,TapeTech Value Full Drywall Taping & Finishing Set,secondary:sku_direct,1,tapetech-TTFTFS-01.webp,tapetech-TTFTFS-01.webp,tapetech-TTFTFS-01.webp,mapped
76XLTT,simple,TapeTech XL EasyClean® Loading Pump,primary:sku_direct,5,tapetech-76XLTT-01.webp | tapetech-76XLTT-02.webp | tapetech-76XLTT-03.webp | tapetech-76XLTT-04.webp | tapetech-76XLTT-05.webp,tapetech-76XLTT-01.webp,tapetech-76XLTT-01.webp | tapetech-76XLTT-02.webp | tapetech-76XLTT-03.webp | tapetech-76XLTT-04.webp | tapetech-76XLTT-05.webp,mapped
85XLTT,simple,TapeTech XL Gooseneck for 76XLTT Pump,primary:sku_direct,2,tapetech-85XLTT-01.webp | tapetech-85XLTT-02.webp,tapetech-85XLTT-01.webp,tapetech-85XLTT-01.webp | tapetech-85XLTT-02.webp,mapped
88TTE,simple,TapeTech Xtender Flat Box Handle,primary:sku_direct,4,tapetech-88TTE-01.webp | tapetech-88TTE-02.webp | tapetech-88TTE-03.webp | tapetech-88TTE-04.webp,tapetech-88TTE-01.webp,tapetech-88TTE-01.webp | tapetech-88TTE-02.webp | tapetech-88TTE-03.webp | tapetech-88TTE-04.webp,mapped
